Year,Quarter,Sector,ROE
2014,Q1,FIN,13.22
2014,Q1,INSUR,15.34
2014,Q1,AUTO,15.76
2014,Q1,IMM,4.03
2014,Q1,PAPER,14.81
2014,Q1,PETRO,10.1
2014,Q1,PKG,2.71
2014,Q1,STEEL,-11.62
2014,Q1,CONMAT,18.0
2014,Q1,PROP,13.92
2014,Q1,PF&REIT,
2014,Q1,CONS,14.5
2014,Q1,ENERG,11.65
2014,Q1,MINE,-9.82
2014,Q1,COMM,19.41
2014,Q1,HELTH,17.13
2014,Q1,MEDIA,18.22
2014,Q1,PROF,5.8
2014,Q1,TOURISM,7.49
2014,Q1,TRANS,1.18
2014,Q1,ETRON,17.67
2014,Q1,ICT,45.23
2014,Q1,MAIIND,6.11
2014,Q1,MEDSIZE,6.11
2014,Q3,AGRO,
2014,Q3,CONSUMP,
2014,Q3,FINCIAL,
2014,Q3,INDUS,
2014,Q3,PROPCON,
2014,Q3,RESOURC,
2014,Q3,SERVICE,
2014,Q3,TECH,
2014,Q3,AGRI,9.54
2014,Q3,FOOD,13.05
2014,Q3,FASHION,1.37
2014,Q3,HOME,9.08
2014,Q3,PERSON,12.28
2014,Q3,BANK,15.33
2014,Q3,FIN,13.27
2014,Q3,INSUR,15.57
2014,Q3,AUTO,11.43
2014,Q3,IMM,8.47
2014,Q3,PAPER,13.5
2014,Q3,PETRO,9.92
2014,Q3,PKG,4.54
2014,Q3,STEEL,-7.67
2014,Q3,CONMAT,16.03
2014,Q3,PROP,14.0
2014,Q3,PF&REIT,
2014,Q3,CONS,14.16
2014,Q3,ENERG,11.72
2014,Q3,MINE,1.91
2014,Q3,COMM,18.89
2014,Q3,HELTH,17.71
2014,Q3,MEDIA,13.12
2014,Q3,PROF,6.6
2014,Q3,TOURISM,5.2
2014,Q3,TRANS,0.65
2014,Q3,ETRON,17.75
2014,Q3,ICT,37.73
2014,Q3,MAIIND,5.79
2014,Q3,MEDSIZE,5.79
2014,Q4,AGRO,
2014,Q4,CONSUMP,
2014,Q4,FINCIAL,
2014,Q4,INDUS,
2014,Q4,PROPCON,
2014,Q4,RESOURC,
2014,Q4,SERVICE,
2014,Q4,TECH,
2014,Q4,AGRI,7.82
2014,Q4,FOOD,12.91
2014,Q4,FASHION,1.36
2014,Q4,HOME,10.45
2014,Q4,PERSON,11.65
2014,Q4,BANK,15.08
2014,Q4,FIN,15.21
2014,Q4,INSUR,16.57
2014,Q4,AUTO,11.24
2014,Q4,IMM,8.08
2014,Q4,PAPER,11.02
2014,Q4,PETRO,5.52
2014,Q4,PKG,4.56
2014,Q4,STEEL,-6.73
2014,Q4,CONMAT,15.58
2014,Q4,PROP,13.27
2014,Q4,PF&REIT,
2014,Q4,CONS,12.4
2014,Q4,ENERG,5.85
2014,Q4,MINE,1.49
2014,Q4,COMM,18.56
2014,Q4,HELTH,17.65
2014,Q4,MEDIA,10.11
2014,Q4,PROF,7.98
2014,Q4,TOURISM,5.5
2014,Q4,TRANS,1.23
2014,Q4,ETRON,15.47
2014,Q4,ICT,35.25
2014,Q4,MAIIND,6.79
2014,Q4,MEDSIZE,6.79
2015,Q2,AGRO,-1.83
2015,Q2,CONSUMP,14.28
2015,Q2,FINCIAL,22.78
2015,Q2,INDUS,6.87
2015,Q2,PROPCON,6.42
2015,Q2,RESOURC,12.44
2015,Q2,SERVICE,1.06
2015,Q2,TECH,-3.34
2015,Q2,AGRI,6.62
2015,Q2,FOOD,12.95
2015,Q2,FASHION,2.49
2015,Q2,HOME,9.02
2015,Q2,PERSON,7.5
2015,Q2,BANK,14.21
2015,Q2,FIN,15.34
2015,Q2,INSUR,15.04
2015,Q2,AUTO,9.61
2015,Q2,IMM,6.26
2015,Q2,PAPER,8.79
2015,Q2,PETRO,7.17
2015,Q2,PKG,5.24
2015,Q2,STEEL,-14.37
2015,Q2,CONMAT,17.96
2015,Q2,PROP,12.95
2015,Q2,PF&REIT,
2015,Q2,CONS,11.99
2015,Q2,ENERG,4.45
2015,Q2,MINE,14.83
2015,Q2,COMM,19.74
2015,Q2,HELTH,18.18
2015,Q2,MEDIA,10.19
2015,Q2,PROF,8.71
2015,Q2,TOURISM,6.72
2015,Q2,TRANS,3.58
2015,Q2,ETRON,15.54
2015,Q2,ICT,45.19
2015,Q3,AGRO,-2.04
2015,Q3,CONSUMP,12.9
2015,Q3,FINCIAL,14.51
2015,Q3,INDUS,7.22
2015,Q3,PROPCON,8.59
2015,Q3,RESOURC,15.11
2015,Q3,SERVICE,-6.94
2015,Q3,TECH,-10.31
2015,Q3,AGRI,6.16
2015,Q3,FOOD,12.36
2015,Q3,FASHION,3.52
2015,Q3,HOME,11.08
2015,Q3,PERSON,6.91
2015,Q3,BANK,13.29
2015,Q3,FIN,14.85
2015,Q3,INSUR,15.69
2015,Q3,AUTO,10.47
2015,Q3,IMM,6.46
2015,Q3,PAPER,8.44
2015,Q3,PETRO,5.48
2015,Q3,PKG,4.9
2015,Q3,STEEL,-74.55
2015,Q3,CONMAT,18.62
2015,Q3,PROP,11.99
2015,Q3,PF&REIT,
2015,Q3,CONS,10.49
2015,Q3,ENERG,-2.18
2015,Q3,MINE,4.36
2015,Q3,COMM,19.81
2015,Q3,HELTH,17.72
2015,Q3,MEDIA,9.82
2015,Q3,PROF,9.93
2015,Q3,TOURISM,7.59
2015,Q3,TRANS,1.93
2015,Q3,ETRON,14.35
2015,Q3,ICT,42.09
2015,Q1,AGRO,-3.78
2015,Q1,CONSUMP,17.54
2015,Q1,FINCIAL,25.11
2015,Q1,INDUS,6.94
2015,Q1,PROPCON,-0.69
2015,Q1,RESOURC,12.78
2015,Q1,SERVICE,6.12
2015,Q1,TECH,-4.26
2015,Q1,AGRI,6.49
2015,Q1,FOOD,13.27
2015,Q1,FASHION,1.42
2015,Q1,HOME,10.45
2015,Q1,PERSON,9.16
2015,Q1,BANK,14.38
2015,Q1,FIN,15.6
