Month,Sector,PE,ROE
2011-02,FIN,13.3,13.32
2011-02,FINCIAL,,
2011-02,FOOD,14.54,17.78
2011-02,HELTH,19.67,17.01
2011-02,HOME,9.54,11.36
2011-02,ICT,12.92,15.63
2011-02,IMM,10.72,18.34
2011-02,INDUS,,
2011-02,INSUR,13.04,16.61
2011-02,MAIIND,,13.64
2011-02,MEDIA,16.59,22.56
2011-02,MEDSIZE,17.51,13.64
2011-02,MINE,10.7,-8.57
2011-02,PAPER,18.07,5.21
2011-02,PERSON,10.72,14.69
2011-02,PETRO,17.6,20.73
2011-02,PF&REIT,,
2011-02,PKG,8.29,31.43
2011-02,PROF,,-10.24
2011-02,PROP,12.99,10.22
2011-02,PROPCON,,
2011-02,RESOURC,,
2011-02,SERVICE,,
2011-02,STEEL,,-4.6
2011-02,TECH,,
2011-02,TOURISM,,3.56
2011-02,TRANS,10.15,3.62
2011-03,AGRI,11.03,19.66
2011-03,AGRO,,
2011-03,AUTO,14.89,7.71
2011-03,BANK,14.84,13.91
2011-03,COMM,21.7,18.03
2011-03,CONMAT,11.85,23.1
2011-03,CONS,,
2011-03,CONSUMP,,
2011-03,ENERG,12.64,20.23
2011-03,ETRON,8.33,16.25
2011-03,FASHION,9.72,9.13
2011-03,FIN,8.96,13.32
2011-03,FINCIAL,,
2011-03,FOOD,16.0,17.78
2011-03,HELTH,20.27,17.01
2011-03,HOME,8.3,11.36
2011-03,ICT,14.68,15.63
2011-03,IMM,9.36,18.34
2011-03,INDUS,,
2011-03,INSUR,13.55,16.61
2011-03,MAIIND,,13.64
2011-03,MEDIA,16.34,22.56
2011-03,MEDSIZE,16.67,13.64
2011-03,MINE,21.13,-8.57
2011-03,PAPER,17.32,5.21
2011-03,PERSON,12.8,14.69
2011-03,PETRO,19.63,20.73
2011-03,PF&REIT,,
2011-03,PKG,8.46,31.43
2011-03,PROF,,-10.24
2011-03,PROP,13.43,10.22
2011-03,PROPCON,,
2011-03,RESOURC,,
2011-03,SERVICE,,
2011-03,STEEL,,-4.6
2011-03,TECH,,
2011-03,TOURISM,36.61,3.56
2011-03,TRANS,11.78,3.62
2011-04,AGRI,11.93,18.66
2011-04,AGRO,,
2011-04,AUTO,14.43,6.6
2011-04,BANK,15.35,14.68
2011-04,COMM,23.74,19.79
2011-04,CONMAT,12.53,22.79
2011-04,CONS,,
2011-04,CONSUMP,,
2011-04,ENERG,13.15,22.02
2011-04,ETRON,8.53,15.08
2011-04,FASHION,9.83,10.58
2011-04,FIN,9.08,13.85
2011-04,FINCIAL,,
2011-04,FOOD,17.15,18.79
2011-04,HELTH,22.57,18.11
